File,ErrorCode,Message
11-120-NotUniqueName.csv,11-120,Similar values for Name are used in asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Create/EquipmentGroups.csv. See 11-120-NotUniqueName.csv for details
11-120-AlreadyExistName.csv,11-120,Name have already used value in asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Create/EquipmentGroups.csv. See 11-120-AlreadyExistName.csv for details
11-121-MissColumnName.csv,11-121,Missing Mandatory Columns Name in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Create/EquipmentGroups.csv. Open 11-121-MissColumnName.csv for details
11-122-QuantityWrongType.csv,11-122,Incorrect type for Quantity in asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Create/EquipmentGroups.csv. See 11-122-QuantityWrongType.csv for details
11-121-MissColumnEquipmentGroupBudgetCategories.csv,11-121,Missing Mandatory Columns EquipmentGroup in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Create/EquipmentGroups.csv. Open 11-121-MissColumnEquipmentGroupBudgetCategories.csv for details
11-121-MissColumnIndexBudgetCategories.csv,11-121,Missing Mandatory Columns Index in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Create/EquipmentGroups.csv. Open 11-121-MissColumnIndexBudgetCategories.csv for details
11-121-MissColumnValueBudgetCategories.csv,11-121,Missing Mandatory Columns Value in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Create/EquipmentGroups.csv. Open 11-121-MissColumnValueBudgetCategories.csv for details
11-120-NotExistingEquipmentGroupBudgetCategories.csv,11-120,Reference EquipmentGroup in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Create/EquipmentGroups.csv not existing. See 11-120-NotExistingEquipmentGroupBudgetCategories.csv for details
11-121-MissColumnEquipmentGroupHRCategories.csv,11-121,Missing Mandatory Columns EquipmentGroup in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Create/EquipmentGroups.csv. Open 11-121-MissColumnEquipmentGroupHRCategories.csv for details
11-121-MissColumnIndexHRCategories.csv,11-121,Missing Mandatory Columns Index in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Create/EquipmentGroups.csv. Open 11-121-MissColumnIndexHRCategories.csv for details
11-121-MissColumnValueHRCategories.csv,11-121,Missing Mandatory Columns Value in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Create/EquipmentGroups.csv. Open 11-121-MissColumnValueHRCategories.csv for details
11-120-NotExistingEquipmentGroupHRCategories.csv,11-120,Reference EquipmentGroup in file asset-integration-accelerator-input/AssetPortfolioActivitiesManagement/Create/EquipmentGroups.csv not existing. See 11-120-NotExistingEquipmentGroupHRCategories.csv for details
